sweep,xi,d2,L,N,T,rm,sigma0_hi,a,s0bar,K1,K2,kappa,A,mass_int,mean_int,vmean_int,mmin,stationarity_u,stationarity_v,stationarity_w,stationarity_max,comparison_interval,solver_success,nfev,njev,nlu
phase,8.0,0.08,10.0,200,300.0,0.5,0.8,4.5,0.08,0.04467596016137665,0.09440684440126801,1.1187910721574157,0.19862709647271407,7.562659867900945,0.8402955408778827,0.1581111505126289,0.0,2.2788554488290377e-14,1.9264476844424743e-14,4.086487215317693e-14,4.086487215317693e-14,5.0847457627118615,True,1422,21,121
phase,8.0,0.08,10.0,200,300.0,0.5,1.0,4.5,0.1,0.05844954629882937,0.11729318542292866,0.9234131744442465,0.24065307748718875,7.405941156587986,0.8228823507319984,0.17537970373197426,0.0,3.1093999572978374e-15,4.947029735584162e-15,2.251961165891787e-15,4.947029735584162e-15,5.0847457627118615,True,1628,20,133
phase,8.0,0.08,10.0,200,300.0,0.5,1.2000000000000002,4.5,0.12000000000000002,0.07078420492930892,0.13608383360987353,0.7939190117826858,0.2799054046120383,7.2273983237475266,0.8030442581941696,0.19512315004273525,0.0,2.907174318155705e-15,4.680748843340555e-15,2.3263623230418825e-15,4.680748843340555e-15,5.0847457627118615,True,1745,24,143
phase,8.0,0.08,10.0,200,300.0,0.5,1.4000000000000001,4.5,0.14,0.08142517019242346,0.15097558103748243,0.706308428911747,0.31462490482325645,7.030194908986662,0.7811327676651846,0.2169803681213728,0.0,7.800492999554885e-15,9.705245084194752e-15,1.4764912638985854e-14,1.4764912638985854e-14,5.0847457627118615,True,1883,29,153
phase,8.0,0.08,10.0,200,300.0,0.5,1.6,4.5,0.16,0.09040026786569233,0.16212162848591172,0.6453056748342456,0.34436737640545717,6.817202673613813,0.757466963734868,0.24064792633162893,0.0,3.3758125321612706e-14,3.61931818921038e-14,5.007428887039782e-14,5.007428887039782e-14,5.0847457627118615,True,2110,24,162
phase,8.0,0.08,10.0,200,300.0,0.5,1.8,4.5,0.18,0.09785753834835931,0.17239448107290722,0.6016880816517092,0.3693312681417827,6.592052396612584,0.7324502662902871,0.26577282162673294,0.0,4.0990191527879465e-14,5.5418310780008264e-14,6.502237905627049e-14,6.502237905627049e-14,5.0847457627118615,True,2210,25,167
phase,8.0,0.08,10.0,200,300.0,0.5,2.0,4.5,0.2,0.10609557206767428,0.18140517580287896,0.5595778004271655,0.3971248002558075,6.361103422065517,0.7067892691183907,0.29176849415852796,0.0,2.250970610547829e-14,8.051245164145625e-14,1.0616311028431673e-14,8.051245164145625e-14,5.0847457627118615,True,2321,27,176
phase,8.0,0.08,10.0,200,300.0,0.5,2.2,4.5,0.22,0.11345829785947559,0.18378903849807504,0.5264369588671616,0.42212503981563465,6.135352836314228,0.6817058707015808,0.3176581696219042,0.0,5.0161411304556876e-14,9.088108032056637e-14,8.043764971220021e-14,9.088108032056637e-14,5.0847457627118615,True,2486,29,186
phase,8.0,0.08,10.0,200,300.0,0.5,2.4000000000000004,4.5,0.24000000000000005,0.1188103293469922,0.1790105908680839,0.504616261993665,0.4403786381046356,5.9262767888640235,0.6584751987626692,0.3425003277161762,0.0,6.619874826555645e-14,8.3140889051302e-14,1.1172382749913572e-13,1.1172382749913572e-13,5.0847457627118615,True,2596,31,199
phase,8.0,0.08,10.0,200,300.0,0.5,2.6,4.5,0.26,0.12256088817985178,0.1713289279718172,0.49033366109265814,0.4532061325894348,5.7374193451205215,0.6374910383467246,0.3661366536799864,0.0,6.553511803821424e-14,4.3872890282539864e-14,1.207646181794514e-13,1.207646181794514e-13,5.0847457627118615,True,2717,29,202
phase,8.0,0.08,10.0,200,300.0,0.5,2.8,4.5,0.27999999999999997,0.12527336729762917,0.16708718938463207,0.48048031269206926,0.4625001615095106,5.566577141365364,0.6185085712628182,0.38889254106060805,0.0,5.6447603685942575e-14,3.459706999298746e-14,1.1017078777869408e-13,1.1017078777869408e-13,5.0847457627118615,True,2819,30,210
phase,8.0,0.08,10.0,200,300.0,0.5,3.0,4.5,0.3,0.12736549682012516,0.16195334334961342,0.4731376191947259,0.46967777070959094,5.411099366560722,0.6012332629511913,0.4110601241120128,0.0,5.058886284179396e-14,4.7968549169312035e-14,1.0107615132980403e-13,1.0107615132980403e-13,5.0847457627118615,True,2953,33,226
phase,8.0,0.08,10.0,200,300.0,0.5,3.2,4.5,0.32,0.12899982782001662,0.15629519478431997,0.4675507262533046,0.47529008029351033,5.2689944001296025,0.5854438222366224,0.43281804092351805,0.0,4.1958340268669024e-14,5.324501495638146e-14,8.670599130042755e-14,8.670599130042755e-14,5.0847457627118615,True,3094,35,224
phase,8.0,0.08,10.0,200,300.0,0.85,0.8,4.15,0.136,0.06987326337018929,0.08869640882010477,0.8023445520375545,0.30032466078290043,6.730809928530499,0.8109409552446385,0.18749315917743858,0.0,2.1531639479266086e-15,5.5780210185538054e-15,7.014267149145722e-16,5.5780210185538054e-15,5.0847457627118615,True,1632,17,128
phase,8.0,0.08,10.0,200,300.0,0.85,1.0,4.15,0.17,0.08718534542265788,0.1048612335776744,0.6659900497582888,0.36181299631900055,6.434546834456784,0.7752466065610583,0.2231230794265457,0.0,1.0374258514589674e-14,2.333656570510936e-14,3.683761424030708e-14,3.683761424030708e-14,5.0847457627118615,True,1828,18,142
phase,8.0,0.08,10.0,200,300.0,0.85,1.2000000000000002,4.15,0.20400000000000001,0.10047401213289286,0.11610496608346343,0.5876778144923378,0.41002714323977335,6.084675111658943,0.7330933869468607,0.26528483783386736,0.0,7.701357887871041e-15,1.0213243863587512e-14,1.7091386155951306e-14,1.7091386155951306e-14,5.0847457627118615,True,2080,21,157
phase,8.0,0.08,10.0,200,300.0,0.85,1.4000000000000001,4.15,0.23800000000000004,0.1126074982409836,0.12579744455199493,0.5300732575430949,0.4545859501355743,5.689728226772768,0.6855094249123816,0.3130484463863987,0.0,2.276286853581797e-13,3.2140557343038456e-13,3.435545359281244e-13,3.435545359281244e-13,5.0847457627118615,True,2313,22,174
phase,8.0,0.08,10.0,200,300.0,0.85,1.6,4.15,0.272,0.12504837072101344,0.13307829291923368,0.48128308712435813,0.5006696928858095,5.2879996693242255,0.637108393894485,0.3622142521885564,0.0,2.0535580393953738e-12,2.6633480121995145e-12,2.6529904906574824e-12,2.6633480121995145e-12,5.0847457627118615,True,2582,18,182
phase,8.0,0.08,10.0,200,300.0,0.85,1.8,4.15,0.306,0.13077744579966633,0.1381165051323796,0.4616170375359857,0.5219994840482945,4.978783424246811,0.5998534246080495,0.40198944327866415,0.0,4.237543400101434e-13,2.456283327271105e-13,6.483219642528228e-13,6.483219642528228e-13,5.0847457627118615,True,2752,23,195
phase,8.0,0.08,10.0,200,300.0,0.85,2.0,4.15,0.34,0.1331207516976904,0.15450832624642197,0.45401419631900114,0.5307407948371284,4.741088985118594,0.5712155403757343,0.43564909965426274,0.0,2.901783308052618e-13,2.606479351584901e-13,5.127596417560626e-13,5.127596417560626e-13,5.0847457627118615,True,2923,26,206
phase,8.0,0.08,10.0,200,300.0,0.85,2.2,4.15,0.37400000000000005,0.1343939708271441,0.17032580035616918,0.4499840518067455,0.5354942124152734,4.540536060051507,0.5470525373556032,0.46726796765602646,0.0,2.5086632905751424e-13,4.730385536680104e-13,4.3902940904048245e-13,4.730385536680104e-13,5.0847457627118615,True,3028,25,210
phase,8.0,0.08,10.0,200,300.0,0.85,2.4000000000000004,4.15,0.40800000000000003,0.13515935444551402,0.1861508728493777,0.4475945552513086,0.5383529638478154,4.366849996440983,0.5261265055952992,0.4978156670867605,0.0,4.2252985972288214e-14,3.9988385221143046e-14,4.25612787788567e-14,4.25612787788567e-14,5.0847457627118615,True,3167,29,220
phase,8.0,0.08,10.0,200,300.0,0.85,2.6,4.15,0.442,0.1357158798099864,0.20084415442198078,0.44587248974551213,0.540432210920257,4.214450482215939,0.5077651183392697,0.5276536177119323,0.0,5.536403523261281e-14,4.449250725408024e-14,3.1007657356679985e-14,5.536403523261281e-14,5.0847457627118615,True,3502,33,240
phase,8.0,0.08,10.0,200,300.0,0.85,2.8,4.15,0.4759999999999999,0.13605303249474066,0.21620290108904094,0.4448354658025136,0.5416920950468089,4.079335177533102,0.49148616596784367,0.5569686518224238,0.0,8.472038827501203e-14,6.587337521783299e-14,7.476127638897075e-14,8.472038827501203e-14,5.0847457627118615,True,3997,53,306
phase,8.0,0.08,10.0,200,300.0,0.85,3.0,4.15,0.51,0.13625376108592463,0.23080243993877647,0.4442202767460296,0.5424422702781103,3.958436733999216,0.4769200884336404,0.5858725638676516,0.0,6.867496411282762e-14,5.272457467073243e-14,2.7138448939463843e-14,6.867496411282762e-14,5.0847457627118615,True,4425,68,351
phase,8.0,0.08,10.0,200,300.0,0.85,3.2,4.15,0.544,0.13744426199779836,0.24350830449145766,0.44060529593385606,0.5468927805576362,3.8493633172483457,0.4637787129214874,0.61443760603555,0.0,6.497337549893277e-15,1.5321947942601566e-14,9.204439750647175e-15,1.5321947942601566e-14,5.0847457627118615,True,4726,79,402
phase,8.0,0.08,10.0,200,300.0,1.2,0.8,3.8,0.19200000000000003,0.0865557733083,0.07635483183062175,0.6701863977975557,0.39266373594221265,5.904876603537483,0.7769574478338793,0.22145810319580578,0.0,1.3171221198507767e-15,3.588595565244022e-15,8.120015745990902e-16,3.588595565244022e-15,5.0847457627118615,True,1702,14,127
