sweep,xi,d2,L,N,T,rm,sigma0_hi,a,s0bar,K1,K2,kappa,A,mass_int,mean_int,vmean_int,mmin,stationarity_u,stationarity_v,stationarity_w,stationarity_max,comparison_interval,solver_success,nfev,njev,nlu,sup_v_b,weighted_l1_lhs,weighted_l1_rhs,weighted_l1_ratio
xi,0,0.08,10.0,200,400.0,2.0,1.6,3.0,0.64,0.1992697105763347,0.1517209151524923,2.5,0.13333333333333333,4.594435253133564,0.765739208855594,0.25188120776363215,0.0,2.6756310245629176e-12,7.001068671047225e-13,2.632509340605186e-12,2.6756310245629176e-12,6.779661016949149,True,909,3,67,0.1132880267585607,0.14752877721550403,2.3906358380905317,16.204539095436196
xi,1,0.08,10.0,200,400.0,2.0,1.6,3.0,0.64,0.19363884491534977,0.1395485387465617,1.5672898632433332,0.21268135598321095,4.104812987723034,0.684135497953839,0.35665292342099847,0.0,8.015082191630462e-14,3.16328543065708e-14,9.482481559950728e-14,9.482481559950728e-14,6.779661016949149,True,1119,6,96,0.14028684146149548,0.6511247017810423,5.870464880136255,9.015884152572593
xi,2,0.08,10.0,200,400.0,2.0,1.6,3.0,0.64,0.1871056112762462,0.1282806168569517,1.0846400460109498,0.3073216174889123,3.704532166555902,0.6174220277593169,0.42919835883742635,0.0,4.0991764968257195e-15,4.536189538485977e-15,5.110831187517058e-15,5.110831187517058e-15,6.779661016949149,True,1324,10,107,0.21519197637722282,1.7541622822034406,11.123356031491108,6.341121425503929
xi,3,0.08,10.0,200,400.0,2.0,1.6,3.0,0.64,0.17807390132051015,0.121170933087833,0.8322242004086551,0.40053309332948195,3.3831400197214325,0.563856669953572,0.4812634063883454,0.0,1.0394524680440473e-14,6.5854103401521734e-15,5.375493967205184e-15,1.0394524680440473e-14,6.779661016949149,True,1585,12,120,0.31119914002483506,2.87820752748668,16.04981223140641,5.576322095655657
xi,4,0.08,10.0,200,400.0,2.0,1.6,3.0,0.64,0.167507953560741,0.11572529942426857,0.6894746832499931,0.48345985926864227,3.11323076271985,0.5188717937866417,0.5226717568881227,0.0,2.961143308584965e-14,7.430001070540595e-15,3.105501863072359e-14,3.105501863072359e-14,6.779661016949149,True,1805,15,136,0.3959707036504928,3.762587885318604,20.02640807839867,5.322509051958768
xi,6,0.08,10.0,200,400.0,2.0,1.6,3.0,0.64,0.1468029557681133,0.117743167624762,0.5410652539683307,0.6160686366174306,2.6654850331794915,0.4442475055299152,0.589203062688678,0.0,4.21422592492408e-14,2.6536336654961918e-14,3.425445624382518e-14,4.21422592492408e-14,6.779661016949149,True,2284,19,160,0.5093480831500444,4.923367905027984,25.708885807713333,5.221808790981913
xi,8,0.08,10.0,200,400.0,2.0,1.6,3.0,0.64,0.13097718997297614,0.15389516447594787,0.46095938153937477,0.7231295135379737,2.2905564304396173,0.38175940507326955,0.6446111816006155,0.0,1.207136176461438e-13,6.852112194175313e-14,1.6987185458394725e-13,1.6987185458394725e-13,6.779661016949149,True,2916,19,192,0.5803656894774712,5.676526215677365,29.841086158907782,5.256927392758799
xi,10,0.08,10.0,200,400.0,2.0,1.6,3.0,0.64,0.11960004967445897,0.2144317071130719,0.4069808724032481,0.8190393110245666,1.9661121867961526,0.3276853644660254,0.6933765970116473,0.0,7.723083443946905e-14,4.9878453646805155e-14,6.090176249703129e-14,7.723083443946905e-14,6.779661016949149,True,5109,86,418,0.6353377096992672,6.256867055612531,33.29174628806362,5.3208332528338245
xi,12,0.08,10.0,200,400.0,2.0,1.6,3.0,0.64,0.10975227968633039,0.11790708836940667,0.3712699567128705,0.8978193018486647,1.6908566225742665,0.28180943709571105,0.7356190562671198,0.0,9.740178039422572e-14,5.632993825485183e-14,1.2878723792318182e-13,1.2878723792318182e-13,6.779661016949149,True,7778,123,641,0.6824423002328327,6.69757731096715,35.988817375943725,5.373408279589808
xi,14,0.08,10.0,200,400.0,2.0,1.6,3.0,0.64,0.10084800104433411,0.14845140058180606,0.3473050878537401,0.9597709477659865,1.4645850907199873,0.24409751511999786,0.7709201589453737,0.0,4.8885644588109754e-14,3.150972956329328e-14,2.7135307411096847e-14,4.8885644588109754e-14,6.779661016949149,True,10051,150,817,0.7228222626128947,7.0342522554218405,38.03905007322333,5.4076892172730515
xi,16,0.08,10.0,200,400.0,2.0,1.6,3.0,0.64,0.09325784755117444,0.1684916711711948,0.3292792684290044,1.012311934862073,1.2817313783186084,0.21362189638643472,0.7997775700149622,0.0,6.640746972729044e-14,4.7305387682186716e-14,5.3633502210708637e-14,6.640746972729044e-14,6.779661016949149,True,11842,188,987,0.7566168105652394,7.309613633028096,39.7361809462545,5.436153392117567
xi,20,0.08,10.0,200,400.0,2.0,1.6,3.0,0.64,0.086892408048794,0.22647865021476754,0.2839992386439699,1.1737120667115948,1.0143432966521655,0.16905721610869423,0.8424193452401184,0.0,1.218673631378925e-13,4.8987898184475723e-14,1.2924748258502474e-13,1.2924748258502474e-13,6.779661016949149,True,17195,262,1409,0.8074027590721579,7.944348367796632,44.77853900320178,5.6365276206563335
xi,24,0.08,10.0,200,400.0,2.0,1.6,3.0,0.64,0.09807872725581313,0.31606951246285764,0.21090268438247461,1.5805077792600744,0.8338506132659422,0.13897510221099035,0.8714508604760629,0.0,3.2950354861715464e-13,9.962291974407903e-14,2.942821587259346e-13,3.2950354861715464e-13,6.779661016949149,True,24689,362,1983,0.8421421197651326,8.916341150703666,56.60575772548223,6.348541040403661
a,8.0,0.08,8.0,200,400.0,2.0,1.28,2.0,0.64,0.11986856038417905,0.1382344703446895,0.5005060289192654,0.9989889653869742,1.0318807853585763,0.2579701963396441,0.7552584303642856,0.0,7.222797086715096e-14,1.6629010565769223e-14,4.1439985524007244e-14,7.222797086715096e-14,6.779661016949149,True,2615,20,176,0.8274490878935374,5.333235130107664,28.068615198564427,5.262962257206499
a,8.0,0.08,9.0,200,400.0,2.0,1.44,2.5,0.6335999999999999,0.12907642922133675,0.2039815301754137,0.46729199352461837,0.8559958346021325,1.6566446491902582,0.3286993351567973,0.6899514040813004,0.0,7.563748128421586e-15,2.7904687716955717e-15,3.851393615089397e-15,7.563748128421586e-15,6.779661016949149,True,2773,23,192,0.6762561738328603,5.540129513105937,29.519525893248865,5.3283097125105785
a,8.0,0.08,10.0,200,400.0,2.0,1.6,3.0,0.64,0.13097718997297614,0.15389516447594787,0.46095938153937477,0.7231295135379737,2.2905564304396173,0.38175940507326955,0.6446111816006155,0.0,1.207136176461438e-13,6.852112194175313e-14,1.6987185458394725e-13,1.6987185458394725e-13,6.779661016949149,True,2916,19,192,0.5803656894774712,5.676526215677365,29.841086158907782,5.256927392758799
a,8.0,0.08,12.0,200,400.0,2.0,1.92,4.0,0.6335999999999999,0.1391549873361477,0.13124036846459686,0.43550947157427744,0.5740403282075618,3.777429619136079,0.46982955461891535,0.5716848379555856,0.0,5.3943761366647276e-14,2.412511143464675e-14,2.6391479996815545e-14,5.3943761366647276e-14,6.779661016949149,True,3096,21,208,0.374042338994297,5.808983086689787,30.759359379030414,5.295136673664933
